City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mahebourg,MU,-20.4081,57.7,70.25,68,40,18.41,scattered clouds
80,Agulu,NG,6.11,7.0724,71.91,95,100,3.6,overcast clouds
81,Luanda,AO,-8.8368,13.2343,69.8,88,20,8.05,few clouds
82,Hobart,AU,-42.8794,147.3294,48.25,80,75,8.05,broken clouds
83,Tondano,ID,1.3038,124.9112,66.29,93,97,2.66,overcast clouds
84,Witu,KE,-2.3889,40.4382,73.56,88,22,11.18,few clouds
85,Vaini,TO,-21.2,-175.2,78.96,94,40,9.22,scattered clouds
86,Dikson,RU,73.5069,80.5464,40.68,93,16,11.79,few clouds
87,Hirara,JP,24.8,125.2833,82.67,89,75,5.75,broken clouds
88,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,100,9.22,overcast clouds
89,Smithers,CA,54.7804,-127.1743,82.72,44,20,4.61,few clouds
90,Buritis,BR,-15.6178,-46.4233,76.64,28,1,2.26,clear sky
91,Carnarvon,AU,-24.8667,113.6333,59.23,58,73,14.0,broken clouds
92,Borogontsy,RU,62.6683,131.1683,69.94,82,80,4.47,broken clouds
93,Caravelas,BR,-17.7125,-39.2481,72.91,90,4,4.52,clear sky
94,Avarua,CK,-21.2078,-159.775,78.85,73,75,18.41,broken clouds
95,Upata,VE,8.0086,-62.3989,81.19,92,74,3.69,broken clouds
96,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,70,75,8.05,broken clouds
97,Mocuba,MZ,-16.8392,36.9856,62.13,96,25,1.92,scattered clouds
98,Northam,GB,51.0333,-4.2167,65.39,98,100,14.7,overcast clouds
99,Ailigandi,PA,9.2333,-78.0167,83.71,81,100,6.51,overcast clouds
100,Sitka,US,57.0531,-135.33,58.89,94,100,4.61,mist
101,East London,ZA,-33.0153,27.9116,58.73,63,100,14.23,overcast clouds
102,Atuona,PF,-9.8,-139.0333,76.82,78,11,16.24,few clouds
103,Tiksi,RU,71.6872,128.8694,48.34,78,43,4.43,scattered clouds
104,Grootfontein,NA,-19.5667,18.1167,53.17,37,2,3.44,clear sky
105,Plettenberg Bay,ZA,-34.0527,23.3716,51.69,82,30,11.34,light rain
106,Sao Filipe,CV,14.8961,-24.4956,77.38,79,92,8.95,overcast clouds
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.53,41,34,2.17,scattered clouds
108,Cayenne,GF,4.9333,-52.3333,82.09,1,45,2.3,scattered clouds
109,Urubicha,BO,-15.3833,-62.95,76.06,43,2,2.15,clear sky
110,Bulgan,MN,48.8125,103.5347,56.3,69,72,3.85,broken clouds
111,Dodge City,US,37.7528,-100.0171,80.22,51,96,8.88,overcast clouds
112,Thompson,CA,55.7435,-97.8558,69.96,40,75,5.75,broken clouds
113,Urmary,RU,55.6789,47.944,59.27,96,17,3.53,few clouds
114,Lavrentiya,RU,65.5833,-171.0,48.24,69,99,4.23,overcast clouds
115,Ponta Do Sol,PT,32.6667,-17.1,74.01,82,8,6.89,clear sky
116,Qaanaaq,GL,77.484,-69.3632,44.26,68,70,5.01,broken clouds
117,Bilma,NE,18.6853,12.9164,91.71,24,43,9.06,scattered clouds
118,Taoudenni,ML,22.6783,-3.9836,100.06,23,87,6.98,overcast clouds
119,Klaksvik,FO,62.2266,-6.589,49.12,87,90,8.63,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,56.71,66,87,15.68,overcast clouds
121,Busselton,AU,-33.65,115.3333,54.72,71,99,9.98,overcast clouds
122,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,20,5.75,few clouds
123,Pak Phanang,TH,8.3511,100.202,79.07,83,100,5.82,overcast clouds
124,Constitucion,CL,-35.3333,-72.4167,52.97,80,100,3.83,overcast clouds
125,Mogocha,RU,53.7333,119.7667,59.7,100,100,1.63,overcast clouds
126,Red Wing,US,44.5625,-92.5338,85.8,54,75,6.91,broken clouds
127,Sehithwa,BW,-20.4667,22.7167,62.01,26,0,5.41,clear sky
128,Pangnirtung,CA,66.1451,-65.7125,60.8,55,100,21.85,light intensity shower rain
129,Forrest City,US,35.0081,-90.7898,85.64,67,76,8.37,broken clouds
130,Lagoa,PT,39.05,-27.9833,73.4,66,0,1.63,clear sky
131,Chepareria,KE,1.3077,35.2039,59.13,89,31,2.39,scattered clouds
132,Vanavara,RU,60.34,102.2797,58.69,98,29,2.91,scattered clouds
133,Rantauprapat,ID,2.1,99.8333,73.58,89,96,2.19,overcast clouds
134,Mugur-Aksy,RU,50.35,90.5,54.19,62,100,3.11,overcast clouds
135,Yaan,NG,7.3833,8.5667,71.65,95,100,6.78,overcast clouds
136,Canutama,BR,-6.5339,-64.3831,86.32,42,30,0.07,scattered clouds
137,Rocha,UY,-34.4833,-54.3333,47.86,86,33,2.08,scattered clouds
138,Saint-Philippe,RE,-21.3585,55.7679,71.11,82,57,14.85,light rain
139,Hasaki,JP,35.7333,140.8333,81.0,81,93,4.47,overcast clouds
140,Marawi,PH,7.9986,124.2928,68.92,92,100,2.73,overcast clouds
141,Te Anau,NZ,-45.4167,167.7167,34.23,89,64,0.51,broken clouds
