City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Marawi,PH,68.92,overcast clouds,7.9986,124.2928,Derogongan Residence
144,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
146,Sao Joao Da Barra,BR,69.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
150,Arraial Do Cabo,BR,67.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
151,Kaoma,ZM,54.16,clear sky,-14.7833,24.8,KAOMA AIRPORT
152,Lopsmarka,NO,60.62,clear sky,67.3134,14.4493,City Hotel Bodø
153,Faanui,PF,79.09,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Loandjili,CG,71.71,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
164,Fare,PF,78.67,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
169,Kuybyshevo,RU,72.41,scattered clouds,47.8123,38.9073,Мини-отель Искра
171,Vanimo,PG,77.92,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
172,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
174,Hualmay,PE,64.54,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
175,Port Elizabeth,ZA,53.98,clear sky,-33.918,25.5701,39 On Nile Guest House
176,Kozan,TR,76.69,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
177,Snezhnogorsk,RU,51.58,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
178,Xai-Xai,MZ,62.6,clear sky,-25.0519,33.6442,Complexo da Familia
179,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
180,Pindiga,NG,69.53,overcast clouds,9.9833,10.9333,Accommodation Center
181,Casablanca,MA,79.02,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
182,Cherskiy,RU,60.08,overcast clouds,68.75,161.3,Gostinitsa
183,Kodiak,US,55.31,light rain,57.79,-152.4072,Best Western Kodiak Inn
185,Salalah,OM,75.45,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
188,Stornoway,GB,52.93,broken clouds,58.2093,-6.3865,Caladh Inn
189,Amga,RU,66.76,overcast clouds,60.8953,131.9608,Algys
191,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
192,Treuchtlingen,DE,63.37,broken clouds,48.95,10.9167,Gasthof Zum Goldenen Lamm
194,Castro,BR,50.23,clear sky,-24.7911,-50.0119,CHACARA BAILLY
195,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Hotel San Juan
197,Meulaboh,ID,75.83,broken clouds,4.1363,96.1285,Kost Pria
198,Milkovo,RU,52.32,light rain,54.7167,158.6167,"Hotel ""Geologist"""
200,Tuy Hoa,VN,78.49,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
201,Tarko-Sale,RU,51.12,clear sky,64.9225,77.785,Yubileynaya
203,Luwingu,ZM,57.56,clear sky,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
204,Broken Hill,AU,52.48,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
206,Yulara,AU,58.8,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
207,Nome,US,62.17,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
208,Jinchang,CN,74.98,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
210,Payo,ID,72.36,overcast clouds,-3.7508,103.6372,Mess keban agung
213,Preston,GB,65.32,light rain,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
214,Tebingtinggi,ID,74.52,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
215,Aksha,RU,57.34,clear sky,50.2814,113.2867,Vizit
216,Porto-Vecchio,FR,78.33,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
218,Rusape,ZW,51.66,clear sky,-18.5278,32.1284,Surrey Lodge
219,Illapel,CL,55.2,overcast clouds,-31.6308,-71.1653,Hotel Londres
220,Lyubytino,RU,53.56,few clouds,58.8122,33.3922,"Gostinitsa ""U Mikhalycha"""
221,Moron,AR,62.49,scattered clouds,-34.6534,-58.6198,Hotel Morón
222,Mahibadhoo,MV,78.67,overcast clouds,3.7833,72.9667,Omadhoo Inn
